ID,Francs,Rappen
0,26,25
1,11,45
2,35,55
3,44,25
4,44,75
5,14,75
6,49,50
7,35,30
8,42,85
9,19,65
10,21,0
11,47,90
12,47,55
13,42,20
14,34,55
15,26,20
16,17,35
17,33,90
18,40,55
19,37,55
20,36,45
21,47,60
22,32,20
23,33,55
24,25,85
25,33,5
26,17,80
27,18,55
28,31,90
29,41,15
30,30,75
31,43,5
32,24,95
33,21,20
34,15,5
35,17,75
36,31,80
37,17,95
38,22,0
39,13,75
40,16,75
41,14,40
42,26,5
43,27,65
44,28,10
45,21,85
46,18,75
47,27,50
48,15,95
49,16,40
50,49,45
51,35,25
52,37,70
53,23,85
54,33,45
55,22,35
56,17,70
57,44,40
58,21,40
59,40,30
60,10,65
61,45,10
62,24,20
63,16,85
64,13,90
65,25,80
66,45,35
67,38,20
68,26,5
69,30,55
70,12,90
71,11,10
72,22,90
73,42,40
74,27,0
75,19,55
76,14,75
77,38,90
78,28,45
79,45,55
80,39,20
81,42,50
82,44,80
83,43,80
84,47,10
85,44,0
86,35,25
87,23,65
88,30,10
89,14,35
90,21,55
91,20,60
92,29,45
93,30,40
94,13,60
95,30,25
96,21,75
97,44,90
98,42,40
99,40,40
100,48,90
101,20,45
102,30,25
103,33,45
104,20,85
105,21,30
106,25,55
107,27,10
108,44,60
109,28,45
110,25,70
111,25,30
112,35,25
113,19,60
114,12,15
115,34,15
116,11,35
117,48,85
118,16,5
119,20,40
120,25,80
121,20,10
122,18,60
123,36,70
124,45,15
125,47,90
126,20,70
127,38,90
128,45,60
129,32,80
130,39,15
131,20,25
132,23,90
133,26,60
134,31,55
135,40,0
136,48,45
137,25,95
138,25,70
139,47,15
140,40,10
141,43,75
142,43,10
143,24,35
144,34,90
145,23,10
146,19,95
147,44,85
148,21,25
149,37,65
150,39,40
151,21,30
152,10,75
153,46,70
154,10,10
155,25,5
156,34,60
157,42,0
158,19,95
159,35,50
160,10,85
161,27,0
162,47,0
163,45,70
164,49,20
165,33,65
166,12,85
167,49,10
168,22,80
169,22,5
170,26,25
171,20,70
172,27,30
173,41,95
174,30,0
175,31,55
176,16,35
177,36,50
178,21,25
179,27,45
180,32,85
181,45,75
182,37,55
183,24,25
184,12,25
185,26,55
186,13,25
187,34,50
188,24,30
189,17,25
190,25,60
191,32,55
192,36,65
193,17,10
194,19,5
195,24,85
196,38,0
197,10,40
198,23,35
199,18,80
200,25,95
201,22,85
202,19,80
203,32,70
204,38,30
205,18,65
206,26,40
207,28,10
208,18,95
209,24,85
210,20,80
211,21,60
212,40,5
213,27,35
214,37,90
215,33,55
216,48,15
217,27,45
218,35,75
219,40,60
220,10,35
221,33,5
222,20,10
223,47,95
224,48,65
225,32,10
226,33,70
227,24,85
228,20,15
229,46,80
230,20,70
231,22,65
232,25,80
233,26,20
234,49,5
235,45,25
236,19,40
237,37,0
238,43,25
239,26,30
240,45,65
241,26,0
242,27,60
243,31,60
244,11,20
245,43,15
246,21,20
247,15,90
248,44,10
249,10,20
250,45,30
251,24,45
252,47,85
253,39,20
254,46,70
255,31,15
256,36,65
257,26,30
258,19,40
259,25,25
260,17,90
261,39,65
262,22,35
263,25,0
264,17,95
265,25,65
266,23,20
267,22,5
268,17,95
269,26,75
270,36,10
271,36,10
272,21,90
273,40,75
274,45,80
275,13,85
276,47,55
277,14,25
278,34,25
279,34,10
280,10,0
281,26,30
282,12,55
283,13,75
284,28,0
285,33,5
286,43,25
287,31,65
288,48,15
289,21,65
290,47,80
291,20,40
292,36,75
293,48,50
294,47,20
295,44,40
296,36,45
297,24,15
298,44,55
299,34,45
300,18,35
301,41,75
302,47,70
303,25,25
304,19,65
305,41,60
306,42,15
307,13,60
308,10,10
309,49,20
310,48,20
311,28,75
312,45,85
313,22,55
314,30,5
315,37,95
316,19,50
317,23,10
318,45,90
319,34,0
320,26,20
321,27,25
322,33,35
323,29,5
324,21,65
325,16,60
326,10,35
327,45,65
328,27,35
329,46,20
330,35,55
331,30,95
332,29,80
333,34,65
334,23,5
335,10,85
336,26,35
337,22,30
338,48,90
339,34,95
340,48,80
341,16,0
342,38,30
343,40,20
344,46,85
345,45,95
346,12,75
347,32,65
348,49,45
349,43,5
350,48,25
351,30,15
352,22,15
353,36,90
354,17,30
355,39,65
356,32,30
357,25,60
358,16,40
359,37,55
360,10,30
361,35,10
362,37,20
363,37,45
364,32,75
365,38,95
366,15,45
367,36,10
368,18,95
369,14,40
370,28,25
371,23,20
372,44,70
373,47,0
374,12,20
375,42,5
376,49,35
377,45,95
378,39,80
379,23,35
380,43,30
381,34,70
382,33,40
383,32,65
384,13,70
385,29,50
386,30,5
387,25,0
388,32,15
389,29,40
390,12,5
391,21,90
392,37,30
393,35,10
394,20,5
395,33,90
396,40,60
397,18,60
398,20,25
399,28,80
400,11,90
401,33,50
402,16,20
403,28,95
404,12,20
405,38,10
406,35,80
407,22,80
408,13,30
409,28,10
410,40,15
411,34,80
412,13,15
413,42,25
414,16,0
415,30,5
416,14,50
417,31,55
418,17,40
419,29,60
420,22,65
421,39,85
422,31,90
423,42,50
424,40,50
425,47,75
426,17,65
427,13,5
428,21,90
429,47,55
430,20,55
431,29,95
432,17,35
433,44,85
434,31,50
435,23,5
436,33,50
437,19,80
438,10,65
439,46,35
440,18,10
441,23,85
442,49,15
443,47,5
444,15,50
445,43,40
446,26,65
447,31,70
448,47,60
449,47,5
450,15,20
451,36,25
452,23,65
453,18,50
454,44,65
455,21,35
456,10,10
457,27,60
458,16,65
459,30,0
460,39,85
461,41,55
462,18,50
463,30,90
464,48,40
465,19,90
466,29,0
467,22,45
468,39,90
469,47,65
470,23,50
471,31,5
472,46,20
473,38,45
474,13,40
475,30,45
476,46,90
477,13,55
478,32,40
479,42,40
480,19,35
481,49,40
482,31,90
483,16,5
484,30,85
485,21,60
486,31,95
487,16,40
488,48,65
489,31,50
490,13,50
491,30,85
492,15,80
493,27,85
494,11,45
495,31,5
496,11,35
497,14,0
498,21,5
499,19,15
500,44,20
501,11,40
502,15,60
503,36,60
504,15,5
505,28,15
506,22,80
507,30,80
508,16,80
509,46,70
510,11,25
511,44,65
512,19,50
513,46,55
514,23,5
515,19,60
516,33,30
517,19,90
518,45,80
519,45,60
520,40,10
521,27,80
522,48,20
523,29,50
524,17,75
525,39,95
526,34,5
527,37,80
528,11,30
529,41,65
530,19,65
531,16,30
532,11,65
533,18,45
534,33,55
535,26,40
536,44,15
537,42,5
538,34,45
539,16,20
540,32,0
541,13,30
542,10,10
543,42,5
544,14,65
545,36,15
546,18,35
547,44,55
548,27,80
549,34,75
550,29,50
551,25,75
552,11,60
553,44,95
554,10,80
555,45,35
556,22,95
557,40,60
558,41,90
559,23,5
560,39,25
561,41,70
562,19,10
563,14,90
564,17,25
565,41,0
566,44,80
567,42,75
568,22,75
569,44,35
570,18,0
571,37,30
572,45,75
573,44,90
574,23,75
575,16,95
576,34,90
577,15,10
578,29,0
579,23,90
580,44,55
581,20,50
582,44,65
583,16,50
584,47,95
585,25,35
586,19,55
587,41,75
588,19,10
589,10,30
590,42,20
591,34,45
592,10,25
593,46,40
594,28,85
595,12,65
596,14,0
597,25,40
598,19,30
